Catégorie,Nom,Description,Localisation,Histoire,Créatures Notables,Personnages Notables,Organisations Notables,Autres Détails
Région,Qadira,"Une riche satrapie de l'empire Keleshite, connue pour ses caravanes et ses richesses.","Sud-est de l'Avistan","Qadira est la porte d'entrée vers l'empire de Kelesh et une terre de commerce prospère.","Génies, Sphinx","Satrap Xerbystes II, Pasha Muhlia al-Jakri","Les Cavaliers de la Porte, La Garde du Crépuscule","La capitale Katheer est un centre de commerce vibrant et d'intrigues politiques."
Région,L'Île de Jalmeray,"Une île mystique connue pour ses monastères et ses traditions spirituelles.","Mer Intérieure, au large de la côte de Nex","Jalmeray est influencée par les traditions Vudrani et est connue pour ses moines et ses mystiques.","Rakshasas, Génies","Maharaja Khiben-Sald, Master of the Scrolls","Les Maîtres des Monastères, Les Mystiques de Jalmeray","L'île est célèbre pour ses compétitions martiales et ses temples mystiques."
Région,Nirmathas,"Un jeune royaume en lutte constante pour son indépendance contre Molthune.","Centre de l'Avistan","Nirmathas a été formé après une rébellion réussie contre Molthune, mais les conflits continuent.","Guerriers tribaux, Rangers","Forest Marshal Weslen Gavirk, Irgal Nirmath","Les Rangers de Nirmathas, Les Libérateurs de la Forêt","La forêt de Fangwood est un symbole de résistance et de liberté pour les Nirmathi."
Région,Molthune,"Un empire expansionniste cherchant à reconquérir Nirmathas et d'autres territoires voisins.","Centre-sud de l'Avistan","Molthune est une puissance militaire et économique cherchant à étendre son influence.","Mercenaires, Soldats","Général Lord Markwin Teldas, Commandant Vrykan Pendrot","Les Légions de Molthune, Les Mercenaires de Braganza","La capitale Canorate est un centre stratégique et militaire crucial."
Région,Isger,"Un vassal de Cheliax connu pour ses terres ravagées par des guerres et des conflits orcs.","Centre-sud de l'Avistan","Isger a souffert de nombreux conflits, notamment les guerres gobelines qui ont laissé le pays en ruine.","Orcs, Gobelins","Hedvend VI, Halidan Tarne","Les Émissaires de Cheliax, Les Gardiens de la Route","La vallée de Conerica est un passage stratégique entre Cheliax et le reste de l'Avistan."
Région,Thuvia,"Une coalition de cités-états connues pour leur production de l'élixir de jouvence.","Nord-ouest de Garund","Thuvia est célèbre pour son élixir de jouvence, une potion rare qui attire de nombreux étrangers.","Sphinx, Sorciers","Artokus Kirran, Hespira","Les Alchimistes de Merab, Les Gardes de Lamasara","La ville de Pashow est un centre de commerce pour l'élixir précieux."
Région,The Shackles,"Un archipel de pirates et de hors-la-loi régnant sur les mers.","Sud de Garund","Les Shackles sont un refuge pour les pirates et les flibustiers qui contrôlent les routes maritimes.","Kraken, Pirates","Hurricane King Kerdak Bonefist, Tessa Fairwind","Les Pirates des Shackles, Les Flibustiers du Sud","La ville de Port Peril est le siège du pouvoir des pirates."
Région,Les Terres des Linnorm Kings,"Un royaume de vikings et de héros cherchant à prouver leur valeur en tuant des linnorms.","Nord de l'Avistan","Les Linnorm Kings sont des guerriers et des chefs qui doivent tuer un dragon linnorm pour prouver leur droit de régner.","Linnorms, Trolls","White Estrid, Sveinn Blood-Eagle","Les Jarls des Linnorm Kings, Les Skalds du Nord","La ville de Kalsgard est le plus grand port et centre commercial de la région."
Région,Alkenstar,"Une ville-état technologique connue pour ses innovations en matière de poudre à canon et de mécaniques.","Sud-ouest de Garund, Mana Wastes","Alkenstar est un bastion de technologie et de progrès, entouré par les dangereuses Mana Wastes.","Automates, Technomanciens","Grand Duchess Trietta Ricia, Gossamer","Les Ingénieurs d'Alkenstar, Les Gardiens des Poudrières","Le grand atelier de la ville est un centre de développement technologique avancé."
Région,Le Druma,"Une théocratie marchande dirigée par le Prophète Blanc et connue pour sa richesse commerciale.","Centre de l'Avistan","Druma est une puissance économique grâce à sa guilde de marchands et son influence religieuse.","Marchands, Golems","Prophète Blanc Kalistrade, Lord Gyr of House Gixx","Les Mercenaires de la Garnison, La Guilde des Marchands","Kerse, la capitale, est un centre de commerce florissant et de pratiques religieuses de Kalistrade."
Région,Le Rahadoum,"Un pays où la religion est interdite, dirigé par des philosophes laïques.","Ouest de Garund","Rahadoum est connu pour ses Lois du Manifeste Interdit, bannissant toutes les pratiques religieuses.","Élémentaires, Djinns","Commandant Omari, Maraca Al-Jakri","Les Phalanstères, Les Gardes de la Pureté","La capitale Azir est un centre de commerce et de philosophie laïque."
Région,La Plaie du Monde,"Une région corrompue et dévastée par les démons de l'Abysse.","Nord de l'Avistan","La Plaie du Monde est une cicatrice laissée par une éruption démoniaque massive.","Démons, Balors","Aponavicius, Khorramzadeh","Les Croisés d'Iomedae, Les Sentinelles de Lastwall","La forteresse de Drezen est un symbole de la lutte contre les forces démoniaques."
Région,Le Galt,"Une nation en constante révolution, marquée par l'instabilité et la violence.","Centre-est de l'Avistan","Galt était autrefois une terre de prospérité, maintenant déchirée par des révolutions constantes.","Faucheuses de l'Âme, Révolutionnaires","Korran Goss, Camilia Drannoch","Les Révolutionnaires de Galt, Les Faucheuses Rouges","La Guillotine Écarlate est un symbole de la terreur et de l'instabilité politique."
Région,L'Hermea,"Une utopie insulaire dirigée par le dragon d'or Mengkare.","Mer Intérieure","Hermea est une expérience sociale visant à créer une société parfaite, dirigée par le dragon d'or Mengkare.","Dragons, Humanoïdes","Mengkare, Phiton","Les Gardiens d'Hermea, Les Philosophes d'Or","La ville de Promise est un modèle de perfection sociale et de progrès."
Région,Les Mana Wastes,"Une région dévastée par la magie sauvage et les conflits arcanes.","Sud de Garund, entre Nex et Geb","Les Mana Wastes sont le résultat de guerres magiques entre Nex et Geb, une terre de désolation et de magie instable.","Mutants, Aberrations","Kazavon, Dahak","Les Magistres des Ruines, Les Survivants des Wastes","La Citadelle Dinyar est un bastion de civilisation dans un désert magique."
Région,Le Tien Xia,"Un continent lointain inspiré de la culture asiatique, avec des empires anciens et des mystères exotiques.","Est de Golarion","Tien Xia est une terre de traditions millénaires, de mysticisme et de guerriers légendaires.","Oni, Dragons Célestes","Shogun Nobunaga, Empereur Shigure","Les Samouraïs de Minkai, Les Moines de Tianjing","La Cité des Cieux est un lieu de sagesse ancienne et de secrets spirituels."
Région,Le Vudra,"Un continent riche en traditions mystiques et en merveilles exotiques.","Sud-est de Golarion","Vudra est une terre de dieux, de rituels anciens et de guerriers sacrés.","Rakshasas, Nagas","Rani Amara, Gurudar","Les Guerriers Kshatriya, Les Yogis de Vudra","La Cité de l'Aurore est un centre de lumière spirituelle et de connaissances anciennes."
Région,Le Casmaron,"Un continent vaste et varié, encore largement inexploré par les peuples de l'Avistan et de Garund.","Est de Golarion","Casmaron est un lieu de mystères anciens, de civilisations perdues et de dangers inconnus.","Trolls, Géants","Karzoug le Claquant, Xin","Les Explorateurs de l'Inconnu, Les Gardiens de l'Ancien Monde","La Grande Muraille de Karamoss est une frontière mystérieuse entre civilisations."
Région,Sarkoris,"Une terre autrefois prospère maintenant dévastée par la Plaie du Monde.","Nord de l'Avistan","Sarkoris était autrefois un pays de druides et de chamans avant d'être envahi par les démons.","Démons, Balors","Aravashnial, Hulrun","Les Druides de Sarkoris, Les Résistants de la Plaie","Les ruines de Storasta et la forteresse démoniaque de Threshold sont des lieux clés."
Région,Le Nidal,"Une nation dominée par les ombres et dédiée à la déesse Zon-Kuthon.","Ouest de l'Avistan","Nidal a accepté la domination de Zon-Kuthon pour échapper à la destruction lors de Earthfall.","Créatures des ombres, Kuthites","Reine Abrogail Thrune, Seviikar","Les Chevaliers de l'Ombre, Les Inquisiteurs de Zon-Kuthon","La capitale Pangolais est un lieu de terreur et de souffrance."
Région,Le Touvette,"Un royaume agricole paisible souvent négligé par les grandes puissances.","Centre-nord de l'Avistan","Le Touvette est connu pour sa terre fertile et ses conflits locaux.","Bandits, Faunes","Comte Varian Jeggare, Dame Mariya Pyrellos","Les Gardes de Touvette, Les Paysans Unis","La capitale Bellis est une ville tranquille entourée de champs et de forêts."
Région,Le Hold de Belkzen,"Une terre sauvage dominée par les orcs et leurs chefs de guerre.","Nord-ouest de l'Avistan","Belkzen est une région chaotique connue pour ses hordes orques et ses raids constants.","Orcs, Trolls","Gorza Bloodfur, Grask Uldeth","Les Clans Orques, Les Guerriers de Belkzen","Urgir, la capitale, est une ville fortifiée construite sur des ruines anciennes."
Région,L'Archipel des Steaming Sea,"Un groupe d'îles volcanique avec une forte activité géothermique.","Nord de Garund","Connue pour ses îles volcaniques et ses créatures uniques, cette région est souvent dangereuse pour les marins.","Géants de feu, Magma elementals","Prince Yarrik, Capitaine Duggar","Les Pirates des Steaming Sea, Les Explorateurs de Feu","Les îles de cette région sont riches en minerais rares et en activités volcaniques."
Région,Le Shining Crusade,"Une région marquée par les guerres contre les morts-vivants.","Nord-ouest de l'Avistan","Lieu des grandes batailles de la Croisade Brillante contre le Tyran Chuchotant.","Vampires, Liches","Général Arnisant, Iomedae","Les Chevaliers de l'Aube, Les Paladins de la Lumière","La citadelle de Vigil et les champs de bataille sacrés sont des lieux mémorables."
Région,L'Isle of Kortos,"L'île centrale où se trouve Absalom, la Cité au Centre du Monde.","Mer Intérieure","Fondée par Aroden, Kortos est le cœur du commerce et de l'aventure.","Sphinx, Hydras","Lord Gyr d'Absalom, Lady Darchana","La Société des Éclaireurs, Les Gardes d'Absalom","Le Starstone Cathedral et le mystérieux Spire of Nex sont des lieux emblématiques."
Ville,Absalom,"La plus grande et la plus influente cité du monde connu, souvent appelée la Cité au Centre du Monde.","Île de Kortos, Mer Intérieure","Fondée par Aroden, le dieu disparu de l'humanité, Absalom est un centre de commerce, de culture et de politique.","Diverses, y compris les golems gardiens de la ville","Lord Gyr d'Absalom, Lady Darchana","La Société des Éclaireurs, le Conseil des Tyrans","Absalom est connue pour ses vastes marchés, ses arènes de gladiateurs et sa mystérieuse Tour de l'Éclaireur."
Ville,Katheer,"La capitale de Qadira, un centre de commerce et de culture.","Qadira, sud-est de l'Avistan","Katheer est une ville prospère, connue pour ses caravanes marchandes et ses marchés exotiques.","Génies, Élémentaires","Satrap Xerbystes II, Pasha Muhlia al-Jakri","Les Cavaliers de la Porte, La Garde du Crépuscule","Katheer est célèbre pour ses bazars animés et ses palais somptueux."
Ville,Whitethrone,"La capitale glaciale d'Irrisen, gouvernée par les sorcières de Baba Yaga.","Irrisen, nord-ouest de l'Avistan","Fondée par Baba Yaga, Whitethrone est un centre de pouvoir glacial et magique.","Trolls de glace, Fées de l'hiver","Reine Elvanna, Baba Yaga","Les Sorcières de l'Hiver, Les Chevaliers de l'Hiver","La ville est connue pour son palais de glace et ses marchés hivernaux."
Ville,Egorian,"La capitale sombre et imposante de Cheliax, connue pour son architecture gothique.","Cheliax, sud-ouest de l'Avistan","Egorian est le centre du pouvoir diabolique de Cheliax, régie par la maison Thrune.","Diables, Infernaux","Reine Abrogail II, Gorthoklek","La Maison Thrune, Les Chevaliers Infernaux","Egorian est célèbre pour ses rituels sombres et ses palais gothiques."
Ville,Sothis,"La capitale d'Osirion, dominée par la Grande Pyramide Noire.","Osirion, nord de Garund","Sothis est une ville ancienne et vénérable, riche en histoire pharaonique et en mystères.","Momies, Sphinx","Pharaon Khemet III, Grand Vizir","La Société des Éclaireurs, Les Érudits de Sothis","La ville est connue pour ses grandes pyramides et ses nombreux temples anciens."
Ville,Kalsgard,"Le plus grand port et centre commercial des Terres des Linnorm Kings.","Nord de l'Avistan","Kalsgard est une ville de vikings et de marchands, un carrefour de cultures nordiques.","Linnorms, Trolls","White Estrid, Sveinn Blood-Eagle","Les Jarls des Linnorm Kings, Les Skalds du Nord","Kalsgard est célèbre pour ses marchés animés et ses compétitions de combat."
Ville,Almas,"La capitale d'Andoran, symbole de liberté et de démocratie.","Andoran, sud-ouest de l'Avistan","Almas est une ville prospère, connue pour ses valeurs démocratiques et son commerce maritime.","Hippogriffes, Gardiens d'Arbre","Président Codwin I, Talmandor","Les Aigles d'Or, La Ligue de l'Exploit","La ville est réputée pour sa forêt de Verduran et ses institutions démocratiques."
Ville,Eleder,"La capitale de Sargava, un point de rencontre de cultures et de commerce maritime.","Sargava, sud-ouest de Garund","Eleder est une ville portuaire influencée par diverses cultures en quête de son identité post-coloniale.","Créatures de la jungle, Pirates","Baron Utilinus, Ieana","Les Libérateurs de Sargava, Les Flibustiers de l'Ouest","La ville est connue pour son port animé et ses divers marchés."
Ville,Mechitar,"La capitale macabre de Geb, un centre de pouvoir nécromantique.","Geb, sud-est de Garund","Mechitar est une ville où les morts-vivants règnent et les vivants sont rares.","Liches, Vampires","Geb (le nécromancien), Arazni la Reine Lich","Les Chevaliers Ossifiés, La Garde Sépulcrale","La ville est célèbre pour ses marchés macabres et ses nécropoles imposantes."
Ville,Quantium,"La capitale magique de Nex, un centre de recherche arcanique avancée.","Nex, sud-est de Garund","Quantium est une ville où la magie règne en maître, fondée par le légendaire magicien Nex.","Golems, Simulacres","Nex (le magicien), Arclord Avidexu","L'Académie Arcanamirium, Les Sorciers de Quantium","Quantium est connue pour ses tours magiques et ses universités arcaniques."
Ville,Oppara,"La capitale impériale de Taldor, riche en histoire et en culture.","Taldor, centre-sud de l'Avistan","Oppara est une ville ancienne, connue pour ses palais opulents et son héritage impérial.","Sphinx, Cockatrices","Grand Prince Stavian III, Martella Lotheed","Les Lions d'Arbor, Les Lames d'Ébène","Oppara est célèbre pour ses magnifiques palais et ses festivals culturels."
Ville,Port Peril,"Le siège du pouvoir des pirates des Shackles, une ville de hors-la-loi et d'aventuriers.","Les Shackles, sud de Garund","Port Peril est un refuge pour les pirates et les flibustiers qui contrôlent les routes maritimes.","Kraken, Pirates","Hurricane King Kerdak Bonefist, Tessa Fairwind","Les Pirates des Shackles, Les Flibustiers du Sud","La ville est connue pour ses tavernes animées et son marché noir."
Ville,Daggermark,"Une des cités-états les plus influentes des Royaumes Fluviaux, connue pour ses assassins.","Royaumes Fluviaux, centre-est de l'Avistan","Daggermark est un centre d'intrigues politiques et d'assassinats.","Assassins, Mercenaires","Martro Livondar, Jaris Damiri","La Guilde des Assassins, Les Mercenaires de Daggermark","La ville est célèbre pour son marché noir et ses intrigues."
Ville,Promise,"La ville utopique d'Hermea, dirigée par le dragon d'or Mengkare.","Hermea, Mer Intérieure","Promise est une ville modèle de perfection sociale et de progrès, fondée par Mengkare.","Dragons, Humanoïdes","Mengkare, Phiton","Les Gardiens d'Hermea, Les Philosophes d'Or","Promise est connue pour ses réformes sociales et ses avancées culturelles."
Ville,Caliphas,"La capitale gothique d'Ustalav, un centre de mystères et de superstitions.","Ustalav, nord-est de l'Avistan","Caliphas est une ville imprégnée de légendes sombres et de créatures nocturnes.","Vampires, Liches","Comte Neska, Whispering Tyrant","Les Pharasmiens, Les Chevaliers de l'Aube","La ville est célèbre pour ses brumes perpétuelles et ses châteaux gothiques."
Ville,Nerosyan,"La capitale fortifiée de Mendev, bastion contre les démons de la Plaie du Monde.","Mendev, nord-est de l'Avistan","Nerosyan est un symbole de résistance contre les forces démoniaques, connue pour ses croisades saintes.","Démons, Balors","Reine Galfrey, Hulrun Shappok","La Croisade d'Argent, Les Gardiens de la Frontière","La ville est célèbre pour ses murailles fortifiées et ses temples."
Ville,Canorate,"La capitale stratégique de Molthune, un centre militaire et économique.","Molthune, centre-sud de l'Avistan","Canorate est une ville fortifiée, essentielle à la stratégie militaire de Molthune.","Mercenaires, Soldats","Général Lord Markwin Teldas, Commandant Vrykan Pendrot","Les Légions de Molthune, Les Mercenaires de Braganza","La ville est connue pour ses fortifications et ses marchés animés."
Ville,Kerse,"La capitale marchande de Druma, riche en commerce et en pratiques religieuses.","Druma, centre de l'Avistan","Kerse est une ville prospère, centre de la religion de Kalistrade et du commerce international.","Marchands, Golems","Prophète Blanc Kalistrade, Lord Gyr of House Gixx","Les Mercenaires de la Garnison, La Guilde des Marchands","La ville est réputée pour ses marchés florissants et ses pratiques religieuses uniques."
Ville,Azlanti Keep,"La capitale ancienne de l'empire Azlanti, maintenant en ruines sous la mer.","Mer Intérieure","Azlanti Keep est un vestige de l'ancienne civilisation Azlanti, riche en artefacts et en mystères.","Kraken, Atlantes","Emperor Azlant, High Mage Zaelios","Les Gardes de l'Empire, Les Érudits de l'Océan","La ville est connue pour ses ruines sous-marines et ses trésors anciens."
Ville,Longacre,"Une ville de Cheliax connue pour sa loyauté envers la Maison Thrune.","Cheliax, sud-ouest de l'Avistan","Longacre est un bastion de la Maison Thrune, souvent utilisée pour réprimer les rébellions.","Diables, Inquisitors","Archbaroness Eldonna, Cimri Staelish","Les Loyalistes de Thrune, Les Enforcers de Longacre","La ville est connue pour ses forteresses et son administration sévère."
Ville,Ravengro,"Un petit village d'Ustalav marqué par des histoires de fantômes et de mystères.","Ustalav, nord-est de l'Avistan","Ravengro est un village tranquille souvent perturbé par des événements surnaturels liés à l'ancienne prison de Harrowstone.","Fantômes, Aberrations","Vashian Hearthmount, Gibs Hephenus","Les Gardes de Ravengro, Les Investigateurs de Harrowstone","Le village est célèbre pour les ruines de la prison de Harrowstone."
Ville,Kibwe,"Une ville de commerce animée dans le Mwangi Expanse, connue pour sa diversité culturelle.","Mwangi Expanse, centre de Garund","Kibwe est un melting-pot où de nombreuses cultures se rencontrent pour échanger des biens et des idées.","Dinosaurs, Elementals","Mayor Noxolo, Trade Prince Zinlo","Les Marchands de Kibwe, Les Gardiens de la Jungle","La ville est célèbre pour son marché animé et sa diversité ethnique."
Ville,Zirnakaynin,"La capitale souterraine des elfes noirs (drows) dans le Darklands.","Darklands, sous Avistan","Zirnakaynin est une ville sombre et sinistre, dominée par des maisons nobles drows en perpétuelle lutte pour le pouvoir.","Drows, Demons","Matron Mother Naevia, Xelaran","Les Maisons Nobles de Zirnakaynin, Les Assassins du Crépuscule","La ville est célèbre pour son architecture souterraine et ses intrigues politiques."
Ville,Pezzack,"Une ville de Cheliax connue pour ses fréquentes rébellions contre le régime diabolique.","Cheliax, sud-ouest de l'Avistan","Pezzack est un foyer de dissidence où les rebelles cherchent à renverser la Maison Thrune.","Diables, Rebels","Chancellor Ardathanatus, Wynsal Starborn","Les Rebelles de Pezzack, Les Enforcers de Thrune","La ville est célèbre pour ses émeutes et son opposition farouche à Cheliax."
Ville,Tamran,"La capitale de Nirmathas, un bastion de résistance contre Molthune.","Nirmathas, centre de l'Avistan","Tamran est une ville fortifiée et un symbole de la lutte pour l'indépendance de Nirmathas.","Forest creatures, Rangers","Forest Marshal Weslen Gavirk, Irgal Nirmath","Les Rangers de Nirmathas, Les Libérateurs de Tamran","La ville est connue pour ses remparts et son esprit de résistance."
Ville,Hajoth Hakados,"Une ville frontière de Numeria, connue pour son mélange de technologie et de barbarie.","Numeria, nord-est de l'Avistan","Hajoth Hakados est une ville où les merveilles technologiques et les tribus barbares coexistent.","Technomanciens, Barbarians","Lord Krenshaw, Xoud","Les Technomanciens de Numeria, Les Guerriers de Hakados","La ville est célèbre pour ses marchés de technologie et ses arènes de combat."
Ville,Starfall,"La capitale de Numeria, dominée par les secrets technologiques et le pouvoir de la Légion d'Argent.","Numeria, nord-est de l'Avistan","Starfall est une ville de contrastes où la technologie extraterrestre rencontre la brutalité des tribus locales.","Robots, Mutants","Kevoth-Kul, Unity","La Légion d'Argent, Les Technomanciens de Starfall","La ville est célèbre pour la Tour de Brècheciel et ses marchés de métal précieux."
Ville,Kyalla,"Une ville portuaire dans la région de Jalmeray, connue pour ses échanges commerciaux et culturels.","Jalmeray, Mer Intérieure","Kyalla est un centre d'échanges culturels et commerciaux, influencé par les traditions Vudrani.","Rakshasas, Elementals","Maharaja Raheem, Saira al-Jakri","Les Marchands de Kyalla, Les Mystiques de Jalmeray","La ville est célèbre pour ses festivals culturels et ses marchés animés."
Ville,Fort Inevitable,"Une ville forteresse dirigée par les Hellknights de la Citadelle Vraid.","Ouest de l'Avistan","Fort Inevitable est une cité fortifiée sous le contrôle strict des Hellknights.","Hellknights, Devils","Paravicar Acillmar, Lady Commander Drovust","Les Hellknights de la Citadelle Vraid, Les Enforcers de Fort Inevitable","La ville est célèbre pour ses lois strictes et son ordre implacable."
Ville,Abken,"Un village fortifié d'Andoran, connu pour sa communauté soudée et ses festivals annuels.","Andoran, sud-ouest de l'Avistan","Abken est un village paisible où les habitants célèbrent l'harmonie et l'abondance chaque année.","Esprits de la forêt, Fées","Maire Grelda Swiftfoot, Sir Roderick","La Garde locale, Les Druides de Verduran","Le village est célèbre pour le festival de la moisson et ses forêts environnantes."
Ville,Wolf's Ear,"Un village de Varisie connu pour sa population de lycanthropes.","Varisie, nord-ouest de l'Avistan","Wolf's Ear était autrefois une colonie de lycanthropes, maintenant plus tolérante envers ces créatures.","Lycanthropes, Loups-Garous","Aliegha Moonshadow, Boris the Hunter","Les Gardes de Wolf's Ear, La Meute du Crépuscule","Le village est célèbre pour sa tolérance relative envers les lycanthropes et ses forêts sauvages."
Ville,Karas,"Une ville de Kyonin peuplée principalement d'elfes, connue pour sa magie et sa beauté naturelle.","Kyonin, sud de l'Avistan","Karas est une cité elfique où la magie et la nature sont en harmonie.","Fées, Élémentaires","Reine Telandia Edasseril, High Mage Valthazar","Les Gardiens de Kyonin, Les Druides de Karas","La ville est célèbre pour ses tours de cristal et ses forêts enchantées."
